Start,Finish,Distance (mi),Flights Climbed (count),Steps (count)
4/5/2015 0:00,4/6/2015 0:00,3.404728883,9,7327
4/6/2015 0:00,4/7/2015 0:00,5.256657371,16,11179
4/7/2015 0:00,4/8/2015 0:00,4.21568664,9,8463
4/8/2015 0:00,4/9/2015 0:00,2.940160711,9,5679
4/9/2015 0:00,4/10/2015 0:00,0.003541816,0,11
4/10/2015 0:00,4/11/2015 0:00,0.334738875,3,737
4/11/2015 0:00,4/12/2015 0:00,5.012166448,12,11097
4/12/2015 0:00,4/13/2015 0:00,6.897195379,7,15642
4/13/2015 0:00,4/14/2015 0:00,3.243756462,12,6762
4/14/2015 0:00,4/15/2015 0:00,5.173350135,10,10791
4/15/2015 0:00,4/16/2015 0:00,3.472557763,9,7065
4/16/2015 0:00,4/17/2015 0:00,3.683979311,8,8036
4/17/2015 0:00,4/18/2015 0:00,3.935765132,9,8709
4/18/2015 0:00,4/19/2015 0:00,12.97496993,20,27289
4/19/2015 0:00,4/20/2015 0:00,5.991845124,17,12241
4/20/2015 0:00,4/21/2015 0:00,3.975340263,20,8298
4/21/2015 0:00,4/22/2015 0:00,4.131726965,11,9185
4/22/2015 0:00,4/23/2015 0:00,3.220107075,10,7029
4/23/2015 0:00,4/24/2015 0:00,3.877294102,14,8389
4/24/2015 0:00,4/25/2015 0:00,4.11409245,13,8533
4/25/2015 0:00,4/26/2015 0:00,8.176598664,10,17444
4/26/2015 0:00,4/27/2015 0:00,3.817282073,6,7836
4/27/2015 0:00,4/28/2015 0:00,4.272392975,16,8732
4/28/2015 0:00,4/29/2015 0:00,5.11686128,13,11627
4/29/2015 0:00,4/30/2015 0:00,5.179091605,11,10626
4/30/2015 0:00,5/1/2015 0:00,4.148783604,13,8733
5/1/2015 0:00,5/2/2015 0:00,4.033767796,12,8811
5/2/2015 0:00,5/3/2015 0:00,5.34537675,14,10994
5/3/2015 0:00,5/4/2015 0:00,8.737597431,15,18276
5/4/2015 0:00,5/5/2015 0:00,4.718699048,13,9757
5/5/2015 0:00,5/6/2015 0:00,2.360545663,9,5156
5/6/2015 0:00,5/7/2015 0:00,3.46661124,14,7409
5/7/2015 0:00,5/8/2015 0:00,4.089237602,9,8433
5/8/2015 0:00,5/9/2015 0:00,5.827946045,9,11916
5/9/2015 0:00,5/10/2015 0:00,5.948889734,14,12413
5/10/2015 0:00,5/11/2015 0:00,9.762629991,24,20036
5/11/2015 0:00,5/12/2015 0:00,6.112981438,14,12730
5/12/2015 0:00,5/13/2015 0:00,3.771424879,10,7774
5/13/2015 0:00,5/14/2015 0:00,2.319988766,10,4650
5/14/2015 0:00,5/15/2015 0:00,4.259070777,13,8450
5/15/2015 0:00,5/16/2015 0:00,7.326618796,14,15461
5/16/2015 0:00,5/17/2015 0:00,7.242845532,11,15491
5/17/2015 0:00,5/18/2015 0:00,12.35865669,17,26308
5/18/2015 0:00,5/19/2015 0:00,2.309189334,11,5166
5/19/2015 0:00,5/20/2015 0:00,2.594734252,11,5465
5/20/2015 0:00,5/21/2015 0:00,3.00360271,12,6065
5/21/2015 0:00,5/22/2015 0:00,4.584302672,11,9874
5/22/2015 0:00,5/23/2015 0:00,4.180274696,12,8547
